"filename", "language", "JavaScript", "CSS", "Vue", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\design\brickV2.json", "JSON", 0, 0, 0, 0, 19, 0, 0, 0, 19
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\design\collaborator.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 1, 18
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\main.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 14, 38
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\newRequest\main.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\plugins\element.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\router\router.js", "JavaScript", 39, 0, 0, 0, 0, 0, 1, 5, 45
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\store\data.js", "JavaScript", 54, 0, 0, 0, 0, 0, 3, 5, 62
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\store\data_Old.js", "JavaScript", 478, 0, 0, 0, 0, 0, 46, 42, 566
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\vue.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\liu\Documents\GitHub\TowerNew\updateMD\0.4.1.md", "Markdown", 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\liu\Documents\GitHub\TowerNew\updateMD\0.4.2.md", "Markdown", 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\liu\Documents\GitHub\TowerNew\updateMD\0.5.0.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 2
"Total", "-", 1722, 3810, 2110, 26, 32413, 17, 600, 1211, 41909
